year,building,kwh,gas_cuft
2014,Kirkland Dorm,100975.0,0.0
2015,Kirkland Dorm,101510.0,0.0
2016,Kirkland Dorm,106675.0,0.0
2017,Kirkland Dorm,107551.0,0.0
2018,Kirkland Dorm,104925.0,0.0
2019,Kirkland Dorm,108116.0,0.0
2020,Kirkland Dorm,89820.0,0.0
2021,Kirkland Dorm,107247.0,0.0
2022,Kirkland Dorm,107604.0,0.0
2023,Kirkland Dorm,106043.0,0.0
2024,Kirkland Dorm,107881.0,0.0
2025,Kirkland Dorm,110804.0,0.0
2003,Kirner Johnson,0.0,0.0
2004,Kirner Johnson,1303200.0,0.0
2005,Kirner Johnson,1262323.2,0.0
2006,Kirner Johnson,0.0,0.0
2007,Kirner Johnson,910696.8,0.0
2008,Kirner Johnson,0.0,0.0
2009,Kirner Johnson,0.0,0.0
2010,Kirner Johnson,1155783.0,0.0
2011,Kirner Johnson,1210293.0,0.0
2012,Kirner Johnson,1235043.0,0.0
2013,Kirner Johnson,1248394.0,0.0
2014,Kirner Johnson,1176625.0,0.0
2015,Kirner Johnson,1175522.0,0.0
2016,Kirner Johnson,1153838.0,0.0
2017,Kirner Johnson,1179014.0,0.0
2018,Kirner Johnson,1109908.866,0.0
2019,Kirner Johnson,1196200.0,0.0
2020,Kirner Johnson,1115397.0,0.0
2021,Kirner Johnson,1283724.0,0.0
2022,Kirner Johnson,1594427.0,0.0
2023,Kirner Johnson,1553493.0,0.0
2024,Kirner Johnson,1545374.0,0.0
2025,Kirner Johnson,1507576.0,0.0
2003,List,0.0,0.0
2004,List,1091760.0,0.0
2005,List,994560.0,0.0
2006,List,0.0,0.0
2007,List,927360.0,0.0
2008,List,1065600.0,0.0
2009,List,931440.0,0.0
2010,List,804960.0,0.0
2011,List,792190.0,0.0
2012,List,787920.0,0.0
2013,List,777560.0,0.0
2014,List,688080.0,0.0
2015,List,733440.0,0.0
2016,List,574800.0,0.0
2017,List,588000.0,0.0
2018,List,647520.0,0.0
2019,List,631440.0,0.0
2020,List,0.0,0.0
2021,List,0.0,0.0
2022,List,783051.0,0.0
2023,List,767791.0,0.0
2024,List,767608.0,0.0
2025,List,854644.0,0.0
2007,Little Pub,0.0,0.0
2008,Little Pub,75203.0,0.0
2009,Little Pub,65638.0,0.0
2010,Little Pub,60569.0,0.0
2011,Little Pub,62489.0,0.0
2012,Little Pub,70920.0,0.0
2013,Little Pub,70116.0,0.0
2014,Little Pub,63520.0,0.0
2015,Little Pub,67569.0,0.0
2016,Little Pub,72833.0,0.0
2017,Little Pub,65581.0,0.0
2018,Little Pub,63554.0,0.0
2019,Little Pub,59933.0,0.0
2020,Little Pub,47237.0,0.0
2021,Little Pub,54145.0,0.0
2022,Little Pub,58198.0,0.0
2023,Little Pub,55274.0,0.0
2024,Little Pub,60934.0,0.0
2025,Little Pub,56556.0,0.0
2003,Major,0.0,0.0
2004,Major,178320.0,0.0
2005,Major,189840.0,0.0
2006,Major,0.0,0.0
2007,Major,137376.0,0.0
2008,Major,223904.0,0.0
2009,Major,163584.0,0.0
2010,Major,130016.0,0.0
